Categories,Final_Category
ROOF MOULDING RHS,OTHERS
STEERING WHEEL,OTHERS
FLOOR CARPET,OTHERS
ENGINE OIL 5W40,FLUIDS & OILS
MONOGRAM (H),MONOGRAM
HAZARD TRIANGLE,OTHERS
REAR LINK ROD (LHS/RHS),SUSPENSION
SPEAKER,OTHERS
REAR DOOR CLADDING RHS,DOOR PARTS
FRONT DRIVE SHAFT ASSY LHS,OTHERS
STEERING WHEEL COVER,OTHERS
ROOF HANDLE,OTHERS
DICKEY DOOR WEATHERSTRIP (BODY SIDE),DOOR PARTS
BATTERY ROD,BATTERY
AC FLAP,AC PARTS
PCV HOSE,HOSES & PIPES
BRAKE MASTER CYLINDER TANK,BRAKE SYSTEM
HVAC HOSE LIQUID,HOSES & PIPES
TIMING CHAIN COVER GASKET,SEALS & GASKETS
FENDER INDICATOR RHS,OTHERS
ENGINE UPPER COVER,OTHERS
TYRE_175/70/R13,TYRES
IGNITION CABLE SET,OTHERS
BATTERY FUSE,BATTERY
DICKEY LATCH CABLE,OTHERS
FRONT LOWER CONTROL ARM BALL JOINT RHS,SUSPENSION
BATTERY_40AH_RIGHT,BATTERY
FRONT FENDER LINING FRONT LHS,OTHERS
FENDER LINING CLIP,OTHERS
BATTERY_8AH_RIGHT,BATTERY
TYRE_175/60/R13,TYRES
FRONT FENDER LINING FRONT RHS,OTHERS
REAR SEAT BELT BUCKLE,OTHERS
HOSE PIPE CLAMP,LIGHTING OTHER
SILENCER B GASKET,SEALS & GASKETS
OIL PRESSURE SWITCH,ELECTRICALS
WIPER BLADE 21,WIPER SYSTEM
FRONT BRAKE CALIPER PIN SET,BRAKE SYSTEM
CLUTCH RELEASE FORK,CLUTCH PARTS
BONNET HINGE RHS,OTHERS
REAR DOOR CHECK ARM (LHS/RHS),DOOR PARTS
FRONT WINDOW GLASS LHS,GLASS & WINDSHIELD
FRONT LINK ROD RHS,SUSPENSION
GLOVE BOX LOCK,OTHERS
REAR OUTER DOOR HANDLE CAP RHS,DOOR PARTS
FENDER CLADDING SET,OTHERS
WIPER BLADE 13,WIPER SYSTEM
WATER PUMP PULLEY,OTHERS
MONOGRAM (HYUNDAI),MONOGRAM
REAR PARKING SENSOR CONTROL UNIT,SENSORS
WIPER BLADE 22,WIPER SYSTEM
TIMING CHAIN GUIDE,OTHERS
