Categories,Final_Category
FRONT BUMPER CLADDING LHS,BUMPER
BATTERY_47AH_RIGHT,BATTERY
FRONT SHOCKER BOOT KIT,SHOCK ABSORBER
FUEL FILLER HOSE,FUEL FILLER
FENDER PANEL LHS,OTHERS
VACUUM PUMP,OTHERS
FRONT LOWER CONTROL ARM BALL JOINT (LHS/RHS),CONTROL ARM
POSITIVE BATTERY TERMINAL CAP,BATTERY
REAR NUMBER PLATE,NUMBER PLATE
FRONT OUTER CORNER TRIM RHS,OTHERS
FRONT FOG LAMP COVER SET,FOG LAMP
REAR OUTER DOOR HANDLE RHS,DOOR HANDLE
FUEL PIPE,OTHERS
TYRE_155/R13LT90/80Q,TYRE
HAND BRAKE CABLE RHS,HAND BRAKE
FUEL LID OPENER LEVER,FUEL LID
BATTERY TRAY,BATTERY
TYRE_155/R13LT90/89S,TYRE
TIMING CHAIN,TIMING CHAIN
REAR DOOR WEATHERSTRIP LHS (DOOR SIDE),WEATHERSTRIP
BULB_H1,BULB
FRONT WIPER LINKAGE,FRONT WIPER
FRONT DRIVE AXLE SEAL (LHS/RHS),SEAL
TIE ROD END (LHS/RHS),TIE ROD
TOW HOOK,OTHERS
ASHTRAY,OTHERS
REAR FOG LAMP LHS,FOG LAMP
COOLANT TANK CAP,COOLANT
HAZARD LIGHT SWITCH,SWITCH
REAR WINDSHIELD,WINDSHIELD
HEAD LIGHT (LHS/RHS),HEADLIGHT
REAR DOOR CLADDING LHS,REAR DOOR
FRONT WIPER BLADE LHS,WIPER BLADE
TYRE_215/70/R16,TYRE
AC FILTER WITH HOLDER,AC FILTER
CENTER AC VENT RHS,AC VENT
HAND BRAKE CABLE LHS,HAND BRAKE
REAR OUTER DOOR HANDLE LHS,DOOR HANDLE
STEERING COLUMN COUPLER,STEERING COLUMN
REAR WHEEL BRAKE CYLINDER LHS,REAR WHEEL
AIR FILTER PIPE OUTLET,AIR FILTER
BATTERY_38AH_LEFT,BATTERY
REAR DOOR WEATHERSTRIP RHS (DOOR SIDE),WEATHERSTRIP
FRONT OUTER CORNER TRIM LHS,OTHERS
RADIATOR MOUNTING LOWER,RADIATOR
BONNET LATCH,OTHERS
JACK SMALL,OTHERS
ALTERNATOR,ALTERNATOR
FRONT WIPER ARM LHS,FRONT WIPER
QUARTER PANEL CLADDING LHS,QUARTER PANEL
WIPER BLADE 24,WIPER BLADE
BLOWER MOTOR RESISTOR,BLOWER MOTOR
